Episode,Reward,Steps
120,-180.399440550636,200
121,-178.272641004023,200
122,-178.192543137769,200
123,-184.086258301879,200
124,-179.419453326402,200
125,-189.394623455557,200
126,-190.346983694573,200
127,-193.101370103651,200
128,-196.216366286612,200
129,-196.654809250506,200
130,-195.106522434895,200
131,-198.897713880714,200
132,-194.500015684773,200
133,-197.839430739975,200
134,-190.874905825608,200
135,-190.749123538438,200
136,-196.349559650635,200
137,-191.491440148584,200
138,-187.270225325689,200
139,-183.749008511216,200
140,-185.710558610577,200
141,-184.277087753738,200
142,-186.146044297912,200
143,-181.939704945407,200
144,-179.977478114084,200
145,-180.666410221777,200
146,-177.713881029594,200
147,-173.109838025277,200
148,-173.416221360055,200
149,-169.488790120974,200
150,-169.436379943493,200
151,-167.197710369881,200
152,-175.579960215008,200
153,-171.019655089578,200
154,-167.139975326753,200
155,-155.760688356404,200
156,-101.087489646385,200
157,-95.0710877279417,200
158,-107.384699335035,200
159,-104.219068378665,200
160,-124.520253140948,200
161,-137.911780771571,200
162,-119.99885453544,200
163,-112.613149871561,200
164,-108.202486724231,200
165,-102.859770450198,200
166,-111.293873656078,200
167,-70.9410362755998,200
168,-116.856911356382,200
169,-93.6271410635662,200
170,-144.578014678462,200
171,-127.129613413946,200
172,-113.871672497839,200
173,-118.057945171795,200
174,-115.269998589799,200
175,-144.716891631169,200
176,-129.886450469802,200
177,-121.706627746043,200
178,-132.712563675155,200
179,-99.1310498519122,200
180,-136.136162625565,200
181,-147.379798223222,200
182,-117.659736425097,200
183,-101.04818387045,200
184,-90.1283542374092,200
185,-127.421073097312,200
186,-78.7790480640575,200
187,-89.2066553045437,200
188,-105.549745913714,200
189,-125.804303820357,200
190,-114.136701238681,200
191,-127.334292326895,200
192,-129.917987339368,200
193,-131.055247501997,200
194,-155.468693138006,200
195,-126.692645935761,200
196,-110.535402586531,200
197,-103.533022114576,200
198,-120.956714333372,200
199,-93.4328339129461,200
200,-83.5185674938571,200
201,-76.7076195323635,200
202,-38.782061057932,200
203,-56.5813231039499,200
204,-51.3931969664756,200
205,-60.8233206075402,200
206,-42.5046595450431,200
207,-16.4379019447083,200
208,-40.2297263019415,200
209,-34.6335273775005,200
210,-47.8590684534472,200
211,-55.1510336086019,200
212,-76.2450161880676,200
