Episode,PositionErrorCm,OrientationErrorDeg,Steps,GoalReached,NormalizedErrorScore
5,88.5146058553201,97.7554144233507,200,0,274.784626133991
6,82.870011347982,130.38818043074,200,0,296.128203126704
7,65.8592008845504,51.3260852374871,200,0,183.044487006588
8,59.38901468965,148.903912202635,200,0,267.681941581935
9,61.5126283200646,169.405192066187,200,0,292.430448706316
10,62.2648999340005,165.11526772938,200,0,289.64506759738
11,62.6304390222924,162.746171318471,200,0,288.007049363056
12,62.8158749619819,162.674174900993,200,0,288.305924824957
13,62.1640936126026,166.447646308395,200,0,290.7758335336
14,60.9508732415935,172.488071123902,200,0,294.389817607089
15,59.0856645710743,165.128394351788,200,0,283.299723493936
16,56.58809069218,145.154292240031,200,0,258.330473624391
17,81.8659927167053,7.81614039377003,200,0,171.548125827181
18,76.6840122728882,82.6237689906578,200,0,235.991793536434
19,57.2499671375314,124.608997953143,200,0,239.108932228206
20,71.926772417838,56.8096718048228,200,0,200.663216640499
21,75.4348575651673,42.9361967256828,200,0,193.805911856017
22,65.5468046595021,80.1360368468716,200,0,211.229646165876
23,61.1578009165598,99.569945190134,200,0,221.885547023253
24,61.6506028759987,97.7555428592153,200,0,221.056748611213
25,62.9209827474823,90.9300443911742,200,0,216.772009886139
26,67.0231081206355,73.2000918595211,200,0,207.246308100792
27,63.3231804383367,89.6606568626402,200,0,216.307017739314
28,76.660818356368,92.2228413246005,200,0,245.544478037336
29,84.6492124725785,139.128151680711,200,0,308.426576625868
30,63.85562884074,97.5432532557046,200,0,225.254510937185
31,81.9841582027622,126.706151052514,200,0,290.674467458038
32,79.1617393396051,139.427499892496,200,0,297.750978571707
33,69.6840309566021,135.977214975601,200,0,275.345276888805
34,67.6294895355512,79.9918319676681,200,0,215.250811038771
35,79.7057854584719,119.478990547963,200,0,278.890561464907
36,73.8217548373034,108.939852170516,200,0,256.583361845123
37,73.4929216098366,100.450011327211,200,0,247.435854546885
38,68.867566551348,105.645410078189,200,0,243.380543180885
39,70.9769787159765,91.1153206687195,200,0,233.069278100672
40,75.0319663432802,26.4299918202857,200,0,176.493924506846
41,64.9718158841932,79.7512406395084,200,0,209.694872407895
42,71.343487670932,135.875426327063,200,0,278.562401668927
43,70.2534602423462,118.971273247791,200,0,259.478193732484
44,74.3500207425974,50.7081748504642,200,0,199.408216335659
45,87.9126043744515,109.378349025032,200,0,285.203557773935
46,57.4548426322494,39.2119255219399,200,0,154.121610786439
47,55.1261317897896,34.7737461147414,200,0,145.02600969432
48,55.3331311746818,30.1217887810123,200,0,140.788051130376
49,54.9959857693957,24.0073854358191,200,0,133.999356974611
50,56.3540213883907,23.802053283846,200,0,136.510096060627
